sku,currency,price_level,min_quantity,unit_price,id
FB : FB-IBN,USA,EQP,0,0.8,211
FB : FB-IBN,USA,EQP,1,0.8,212
FB : FB-IBN,USA,Net Price,0,0.8,213
FB : FB-IBN,USA,Net Price,1,0.8,214
FB : FB-IBN,USA,Online Price,0,1,215
FB : FB-IBN,USA,Online Price,1,1,216
FB : FB-IRD,USA,EQP,0,0.8,217
FB : FB-IRD,USA,EQP,1,0.8,218
FB : FB-IRD,USA,Net Price,0,0.8,219
FB : FB-IRD,USA,Net Price,1,0.8,220
FB : FB-IRD,USA,Online Price,0,1,221
FB : FB-IRD,USA,Online Price,1,1,222
FB : FB-PBL,USA,EQP,0,0.8,223
FB : FB-PBL,USA,EQP,1,0.8,224
FB : FB-PBL,USA,Net Price,0,0.8,225
FB : FB-PBL,USA,Net Price,1,0.8,226
FB : FB-PBL,USA,Online Price,0,1,227
FB : FB-PBL,USA,Online Price,1,1,228
FB : FB-PGD,USA,EQP,0,0.8,229
FB : FB-PGD,USA,EQP,1,0.8,230
FB : FB-PGD,USA,Net Price,0,0.8,231
FB : FB-PGD,USA,Net Price,1,0.8,232
FB : FB-PGD,USA,Online Price,0,1,233
FB : FB-PGD,USA,Online Price,1,1,234
FB : FB-PPC,USA,EQP,0,0.8,235
FB : FB-PPC,USA,EQP,1,0.8,236
FB : FB-PPC,USA,Net Price,0,0.8,237
FB : FB-PPC,USA,Net Price,1,0.8,238
FB : FB-PPC,USA,Online Price,0,1,239
FB : FB-PPC,USA,Online Price,1,1,240
FB : FB-PPK,USA,EQP,0,0.8,241
FB : FB-PPK,USA,EQP,1,0.8,242
FB : FB-PPK,USA,Net Price,0,0.8,243
FB : FB-PPK,USA,Net Price,1,0.8,244
FB : FB-PPK,USA,Online Price,0,1,245
FB : FB-PPK,USA,Online Price,1,1,246
FB : FB-PSL,USA,EQP,0,0.8,247
FB : FB-PSL,USA,EQP,1,0.8,248
FB : FB-PSL,USA,Net Price,0,0.8,249
FB : FB-PSL,USA,Net Price,1,0.8,250
FB : FB-PSL,USA,Online Price,0,1,251
FB : FB-PSL,USA,Online Price,1,1,252
FB : FB-UTL,USA,EQP,0,0.8,253
FB : FB-UTL,USA,EQP,1,0.8,254
FB : FB-UTL,USA,Net Price,0,0.8,255
FB : FB-UTL,USA,Net Price,1,0.8,256
FB : FB-UTL,USA,Online Price,0,1,257
FB : FB-UTL,USA,Online Price,1,1,258
FB : FB-IG,USA,EQP,0,0.8,259
FB : FB-IG,USA,EQP,1,0.8,260
FB : FB-IG,USA,Net Price,0,0.8,261
FB : FB-IG,USA,Net Price,1,0.8,262
FB : FB-IG,USA,Online Price,0,1,263
FB : FB-IG,USA,Online Price,1,1,264
FB : FB-MCP,USA,EQP,0,0.8,265
FB : FB-MCP,USA,EQP,1,0.8,266
FB : FB-MCP,USA,Net Price,0,0.8,267
FB : FB-MCP,USA,Net Price,1,0.8,268
FB : FB-MCP,USA,Online Price,0,1,269
FB : FB-MCP,USA,Online Price,1,1,270
FB : FB-PGN,USA,EQP,0,0.8,271
FB : FB-PGN,USA,EQP,1,0.8,272
FB : FB-PGN,USA,Net Price,0,0.8,273
FB : FB-PGN,USA,Net Price,1,0.8,274
FB : FB-PGN,USA,Online Price,0,1,275
FB : FB-PGN,USA,Online Price,1,1,276
FB : FB-BBL,USA,EQP,0,1.2,277
FB : FB-BBL,USA,EQP,1,1.2,278
FB : FB-BBL,USA,Net Price,0,1.2,279
FB : FB-BBL,USA,Net Price,1,1.2,280
FB : FB-BBL,USA,Online Price,0,1.5,281
FB : FB-BBL,USA,Online Price,1,1.5,282
FB : FB-BBK,USA,EQP,0,1.2,283
FB : FB-BBK,USA,EQP,1,1.2,284
FB : FB-BBK,USA,Net Price,0,1.2,285
FB : FB-BBK,USA,Net Price,1,1.2,286
FB : FB-BBK,USA,Online Price,0,1.5,287
FB : FB-BBK,USA,Online Price,1,1.5,288
FB : FB-GF,USA,EQP,0,1,289
FB : FB-GF,USA,EQP,1,1,290
