id,name,hex_code,r,g,b
506,436,#bca59e,,,
507,437,#8c706b,,,
508,438,#593f3d,,,
509,439,#493533,,,
510,440,#3f302b,,,
511,441,#d1d1c6,,,
512,442,#babfb7,,,
513,443,#a3a8a3,,,
514,444,#898e8c,,,
515,445,#565959,,,
516,446,#494c49,,,
517,447,#3f3f38,,,
518,448,#54472d,,,
519,4485,#604c11,,,
520,449,#544726,,,
521,4495,#877530,,,
522,450,#60542b,,,
523,4505,#a09151,,,
524,451,#ada07a,,,
525,4515,#bcad75,,,
526,452,#c4b796,,,
527,4525,#ccbf8e,,,
528,453,#d6ccaf,,,
529,4535,#dbcea5,,,
530,454,#e2d8bf,,,
531,4545,#e5dbba,,,
532,455,#665614,,,
533,456,#998714,,,
534,457,#b59b0c,,,
535,458,#ddcc6b,,,
536,459,#e2d67c,,,
537,460,#eadd96,,,
538,461,#ede5ad,,,
539,462,#5b4723,,,
540,4625,#472311,,,
541,463,#755426,,,
542,4635,#8c5933,,,
543,464,#876028,,,
544,4645,#b28260,,,
545,465,#c1a875,,,
546,4655,#c49977,,,
547,466,#d1bf91,,,
548,4665,#d8b596,,,
549,467,#ddcca5,,,
550,4675,#e5c6aa,,,
551,468,#e2d6b5,,,
552,4685,#edd3bc,,,
553,469,#603311,,,
554,4695,#51261c,,,
555,470,#9b4f19,,,
556,4705,#7c513d,,,
557,471,#bc5e1e,,,
558,4715,#99705b,,,
559,472,#eaaa7a,,,
560,4725,#b5917c,,,
561,473,#f4c4a0,,,
562,4735,#ccaf9b,,,
563,474,#f4ccaa,,,
564,4745,#d8bfaa,,,
565,475,#f7d3b5,,,
566,4755,#e2ccba,,,
567,476,#593d2b,,,
568,477,#633826,,,
569,478,#7a3f28,,,
570,479,#af8970,,,
571,480,#d3b7a3,,,
572,481,#e0ccba,,,
573,482,#e5d3c1,,,
574,483,#6b3021,,,
575,484,#9b301c,,,
576,485,#DA291C,,,
577,486,#ed9e84,,,
578,487,#efb5a0,,,
579,488,#f2c4af,,,
580,489,#f2d1bf,,,
581,490,#5b2626,,,
582,491,#752828,,,
583,492,#913338,,,
584,494,#f2adb2,,,
585,495,#f4bcbf,,,
586,496,#f7c9c6,,,
587,497,#512826,,,
588,4975,#441e1c,,,
589,498,#6d332b,,,
590,4985,#844949,,,
591,499,#7a382d,,,
592,4995,#a56b6d,,,
594,5005,#bc8787,,,
595,501,#eab2b2,,,
596,5015,#d8ada8,,,
597,502,#f2c6c4,,,
598,5025,#e2bcb7,,,
599,503,#f4d1cc,,,
600,5035,#edcec6,,,
601,504,#511e26,,,
602,505,#661e2b,,,
603,506,#7a2638,,,
604,507,#d8899b,,,
605,508,#e8a5af,,,
606,509,#f2babf,,,
607,510,#f4c6c9,,,
608,511,#602144,,,
609,5115,#4f213a,,,
610,512,#84216b,,,
611,5125,#754760,,,
612,513,#9e2387,,,
613,5135,#936b7f,,,
614,514,#d884bc,,,
615,5145,#ad8799,,,
616,515,#e8a3c9,,,
617,5155,#ccafb7,,,
618,516,#f2bad3,,,
619,5165,#e0c9cc,,,
620,517,#f4ccd8,,,
621,5175,#e8d6d1,,,
622,518,#512d44,,,
623,5185,#472835,,,
624,519,#63305e,,,
625,5195,#593344,,,
626,520,#703572,,,
627,5205,#8e6877,,,
628,521,#b58cb2,,,
629,5215,#b5939b,,,
630,522,#c6a3c1,,,
631,5225,#ccadaf,,,
632,523,#d3b7cc,,,
633,5235,#ddc6c4,,,
634,524,#e2ccd3,,,
635,5245,#e5d3cc,,,
636,525,#512654,,,
637,5255,#35264f,,,
638,526,#68217a,,,
639,5265,#493d63,,,
640,527,#7a1e99,,,
641,5275,#605677,,,
642,528,#af72c1,,,
643,5285,#8c8299,,,
644,529,#cea3d3,,,
645,5295,#b2a8b5,,,
646,530,#d6afd6,,,
647,5305,#ccc1c6,,,
648,531,#e5c6db,,,
649,5315,#dbd3d3,,,
650,532,#353842,,,
651,533,#353f5b,,,
652,534,#3a4972,,,
653,535,#9ba3b7,,,
654,536,#adb2c1,,,
655,537,#c4c6ce,,,
656,538,#d6d3d6,,,
657,539,#003049,,,
658,5395,#02283a,,,
659,540,#00335b,,,
660,5405,#3f6075,,,
661,541,#003f77,,,
662,5415,#607c8c,,,
663,542,#6693bc,,,
664,5425,#8499a5,,,
665,543,#93b7d1,,,
666,5435,#afbcbf,,,
667,544,#b7ccdb,,,
668,5445,#c4cccc,,,
669,545,#c4d3dd,,,
670,5455,#d6d8d3,,,
671,546,#0c3844,,,
672,5463,#00353a,,,
673,5467,#193833,,,
674,547,#003f54,,,
675,5473,#26686d,,,
676,5477,#3a564f,,,
677,548,#004459,,,
678,5483,#609191,,,
679,5487,#667c72,,,
680,549,#5e99aa,,,
681,5493,#8cafad,,,
682,5497,#91a399,,,
683,550,#87afbf,,,
684,5503,#aac4bf,,,
685,5507,#afbab2,,,
686,551,#a3c1c9,,,
687,5513,#ced8d1,,,
688,5517,#c9cec4,,,
689,552,#c4d6d6,,,
690,5523,#d6ddd6,,,
691,5527,#ced1c6,,,
692,553,#234435,,,
693,5535,#213d30,,,
694,554,#195e47,,,
695,5545,#4f6d5e,,,
696,555,#076d54,,,
697,5555,#779182,,,
698,556,#7aa891,,,
699,5565,#96aa99,,,
700,557,#a3c1ad,,,
701,5575,#afbfad,,,
702,558,#b7cebc,,,
703,5585,#c4cebf,,,
704,559,#c6d6c4,,,
705,5595,#d8dbcc,,,
706,560,#2b4c3f,,,
707,5605,#233a2d,,,
708,561,#266659,,,
709,5615,#546856,,,
710,562,#1e7a6d,,,
711,5625,#728470,,,
712,563,#7fbcaa,,,
713,5635,#9eaa99,,,
714,564,#05705e,,,
715,5645,#bcc1b2,,,
716,565,#bcdbcc,,,
717,5655,#c6ccba,,,
718,566,#d1e2d3,,,
719,5665,#d6d6c6,,,
720,567,#265142,,,
721,569,#008772,,,
722,570,#7fc6b2,,,
723,571,#aadbc6,,,
724,572,#bce2ce,,,
725,573,#cce5d6,,,
726,574,#495928,,,
727,5743,#3f4926,,,
728,5747,#424716,,,
729,575,#547730,,,
730,5753,#5e663a,,,
731,5757,#6b702b,,,
732,576,#608e3a,,,
733,5763,#777c4f,,,
734,5767,#8c914f,,,
735,577,#b5cc8e,,,
736,5773,#9b9e72,,,
737,5777,#aaad75,,,
738,578,#c6d6a0,,,
739,5783,#b5b58e,,,
740,5787,#c6c699,,,
741,579,#c9d6a3,,,
742,5793,#c6c6a5,,,
743,5797,#d3d1aa,,,
744,580,#d8ddb5,,,
745,5803,#d8d6b7,,,
746,5807,#e0ddbc,,,
747,581,#605e11,,,
748,5815,#494411,,,
749,582,#878905,,,
750,5825,#75702b,,,
751,583,#aaba0a,,,
752,5835,#9e9959,,,
753,584,#ced649,,,
754,5845,#b2aa70,,,
755,585,#dbe06b,,,
756,5855,#ccc693,,,
757,586,#e2e584,,,
758,5865,#d6cea3,,,
759,587,#e8e89b,,,
760,5875,#e0dbb5,,,
761,600,#f4edaf,,,
762,601,#f2ed9e,,,
763,602,#f2ea87,,,
764,603,#ede85b,,,
765,604,#e8dd21,,,
766,605,#ddce11,,,
767,606,#d3bf11,,,
768,607,#f2eabc,,,
769,608,#efe8ad,,,
770,609,#eae596,,,
771,610,#e2db72,,,
772,611,#d6ce49,,,
773,612,#c4ba00,,,
774,613,#afa00c,,,
775,614,#eae2b7,,,
776,615,#e2dbaa,,,
777,616,#ddd69b,,,
778,617,#ccc47c,,,
779,618,#b5aa59,,,
780,619,#968c28,,,
781,620,#847711,,,
782,621,#d8ddce,,,
783,622,#c1d1bf,,,
784,623,#a5bfaa,,,
785,624,#7fa08c,,,
786,625,#5b8772,,,
787,626,#21543f,,,
788,627,#0c3026,,,
789,628,#cce2dd,,,
790,629,#b2d8d8,,,
791,630,#8cccd3,,,
792,631,#54b7c6,,,
793,632,#00a0ba,,,
794,633,#007f99,,,
795,634,#00667f,,,
796,635,#bae0e0,,,
797,636,#99d6dd,,,
